"Name";"Total Passengers 2017"
"Guillerval";369
"Guillerval Centre";21600
"Guimiliau";3890
"Guingamp";542923
"Gujan-Mestras";386837
"Gundershoffen";64761
"Gunsbach - Griesbach";23058
"Héming";139
"Hénin-Beaumont";525351
"Héricourt";142340
"Héricy";54020
"Habsheim";228013
"Hachette";5
"Hagondange";1070785
"Haguenau";1656723
"Halsou - Larressore";28
"Halte de Fontanil – Lycée de Drap";245329
"Haluchère Batignolles";92614
"Ham";129264
"Ham-en-Artois";3193
"Hangest-sur-Somme";39105
"Harfleur";4577
"Harfleur Halte";4857
"Hargarten-Falck";588
"Hargicourt - Pierrepont";17001
"Hasenrain";566
"Hatrize";1279
"Haubourdin";71486
"Haussmann Saint-Lazare";44647200
"Hautmont";79179
"Hayange";9869
"Haybes";30012
"Hazebrouck";1680029
"Heiligenberg - Mollkirch";25236
"Heilles - Mouchy";4159
"Heilly";4278
"Hellemmes";2675
"Hendaye";358245
"Hennebont";108597
"Herbitzheim";56582
"Herblay";3220654
"Herchies";7492
"Hermes - Berthecourt";96642
"Herny";10210
"Herrlisheim";155458
"Herrlisheim-près-Colmar";56493
"Hesdigneul";27056
"Hesdin";36146
"Hettange-Grande";532945
"Hirson";106909
"Hirson Écoles";51563
"Hochfelden";218004
"Hoelschloch";18232
"Hoenheim Tram";72582
"Hoerdt";198375
"Hoffen";6809
"Holtzheim";3
"Homécourt";31139
"Hombourg-Budange";507
"Hombourg-Haut";9174
"Houdan";1378299
"Houdemont";5519
"Houilles - Carrières-sur-Seine";12474770
"Houlgate";14579
"Hundling";34555
"Hunspach";2165
"Huriel";111
"Hyères";725240
"Hymont - Mattaincourt";695
"Igney";8477
"Igney - Avricourt";21906
"Igny";465232
"Ille-sur-Têt";2075
"Illfurth";61431
"Illiers-Combray";148314
"Imphy";41013
"Ingersheim Cité Scolaire";26196
"Ingrandes sur Loire";62185
"Ingrandes sur Vienne";4789
"Ingwiller";229620
"Invalides";10276201
"Irigny";0
"Is-sur-Tille";174914
"Isbergues";180383
"Isles - Armentières - Congis";91921
"Issé";24812
"Issoire";468027
"Issou - Porcheville";195274
"Issoudun";175252
"Issy";2398309
"Issy Val de Seine";6481351
"Istres";129047
"Iteuil";8489
"Itxassou";74
"Ivry-sur-Seine";4830705
"Iwuy";6973
"Jacques Monod la Demi-Lieue";8120
"Janzé";163775
"Jarnac";42311
"Jarrie - Vizille";15894
"Jarville-la-Malgrange";30074
"Jassonneix";971
"Jatxou";9
"Jaunay-Clan";29058
"Jaux";11770
"Javel";3477600
"Jeumont";72013
"Joeuf";37140
"Joigny";358388
"Joigny-sur-Meuse";16490
"Joinville";61514
"Joncet";49
"Joncherey";0
"Jonchery-sur-Vesle";91780
"Jonzac";102920
"Joué-lès-Tours";58205
"Jouy";110437
"Jouy sur Morin Champgoulin";0
"Jouy sur Morin Eustache";5400
"Jouy sur Morin Monument";5400
"Jouy-en-Josas";856872
"Juan les Pins";919962
"Juvisy";38195637
"Juziers";243060
"Kédange";3961
"Kalhausen";12129
"Ker Lann";60919
"Kerhostin";1572
"Kerhuon";38625
"Keskastel";43443
"Kilstett";94006
"Koenigsmacker";994
"Kogenheim";26817
"Krimmeri Meinau";171585
"Kruth";25828
"Kuntzig";561
"Kurtzenhouse";97669
"L'Abbaye";756020
"L'Aigle";138025
"L'Aiguille";4685
"L'Arbresle";779513
"L'Argentière les Écrins";103096
"L'Ariane La Trinité";94643
"L'Étang-la-Ville";497108
"L'Escarène";88190
"L'Estaque";112505
"L'Hôpital-du-Grosbois";17964
"L'Herbergement - Les Brouzils";89562
"L'Hermitage - Mordelles";39821
"L'Hospitalet près l'Andorre";18755
"L'Isle-Adam - Parmain";815206
"L'Isle-d'Abeau";211294
"L'Isle-Jourdain";278270
"L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse";414758
"L'Isle-sur-le-Doubs";89110
"L'Isthme";563
"La Bachellerie";706
"La Barasse";13207
"La Barre Ormesson";2640901
"La Bassée";275167
"La Basse Indre - Saint-Herblain";28274
"La Bastide - Saint-Laurent-les-Bains";23269
"La Baule les Pins";18606
"La Baule-Escoublac";455115
"La Bernerie-en-Retz";22174
"La Bohalle";23632
"La Bonneville-sur-Iton";10923
"La Borne Blanche";22266
"La Bourboule";9424
"La Bouteille";5251
"La Brigue";4626
"La Brillanne - Oraison";106724
"La Brohinière";14145
"La Cave";22
"La Celle-Saint-Cloud";1944247
"La Chaize-le-Vicomte";3762
"La Chapelle - Aulnay";15547
"La Chapelle Centre";24351
"La Chapelle-Saint-Mesmin";8066
"La Chapelle-sur-Loire";1926
"La Charité-sur-Loire";154368
"La Chaumusse - Fort-du-Plasne";3669
"La Chaussée-Saint-Victor";2144
"La Chaux-des-Crotenay";2441
"La Ciotat";754153
"La Clayette - Baudemont";21922
"La Coquille";20902
"La Courneuve - Aubervilliers";10512217
"La Couronne Carro";45756
"La Crau";114048
"La Crèche";12037
"La Croix de Méan";1996
"La Défense";27840187
"La Douzillère";11507
"La Faloise";8856
"La Fère";127545
"La Ferté Gaucher";0
"La Ferté Gaucher Centre";5400
"La Ferté-Alais";475647
"La Ferté-Bernard";322371
"La Ferté-Imbault";11562
"La Ferté-Milon";28915
"La Ferté-Saint-Aubin";146424
"La Ferté-sous-Jouarre";1944254
"La Fontaine";4687
"La Forest-Landerneau";72161
"La Fouillouse";7385
"La Frayère";136398
"La Fresnais";14017
"La Frette - Montigny";838144
"La Garde";196891
"La Garenne-Colombes";3745936
"La Gauterie";0
"La Gorp";53238
"La Gouesnière - Cancale - Saint-méloir-des-Ondes";31658
"La Grande-Paroisse";54182
"La Grave d'Ambarès";15120
"La Guerche-sur-l'Aubois";31301
"La Guierche";32057
"La Haie-Fouassière";152927
"La Hisse";2416
"La Hume";122956
"La Hutte Coulombiers";15493
"La Jarrie";6372
"La Jonchère";13285
"La Joux";201
"La Levade";520
"La Loupe";360018
"La Méaugon";8
"La Ménitré";142611
"La Madeleine";10246
"La Marche";113
"La Membrolle-sur-Choisille";1468
"La Meyze";2819
"La Miouze - Rochefort";265
"La Mothe-Achard";52830
"La Mothe-Saint-Héray";2481
"La Norville - Saint-Germain-lès-Arpajon";631840
"La Pauline Hyères";182660
"La Penne-sur-Huveaune";84113
"La Plaine Stade de France - Saint-Denis - Aubervilliers";12847630
"La Pomme";14317
"La Porcherie";2569
"La Possonnière";105985
"La Poterie";43869
"La Réole";205677
"La Redonne Ensuès";69986
"La Ricamarie";9796
"La Rivière";23565
"La Rivière de Mansac";339
"La Roche-Maurice";13963
"La Roche-sur-Foron";364353
"La Roche-sur-Yon";883215
"La Rochefoucauld";11002
"La Rochelle";2026306
"La Rochelle Porte Dauphine";92155
"La Seyne - Six Fours";455089
"La Souterraine";186097
"La Suze";148523
"La Taye";13316
"La Teste";344789
"La Tour-de-Salvagny";130905
"La Tour-du-Pin";861758
"La Tricherie";18790
"La Trinité Victor";181797
"La Valbonne";195186
"La Verpillière";828276
"La Verrière";5137934
"La Ville Gozet";328
"La Villette Saint-Prest";92925
"La Wantzenau";40096
"Lépanges";4271
"Lépin-le-Lac - La Bauche";63832
"Lérouville";6018
"Lézignan-Corbières";101809
"Labarthe-Inard";926
"Labège Innopole";174705
"Labège Village";11922
"Labenne";29982
"Labergement-Sainte-Marie";9101
"Laboissière - Le Déluge";23832
"Labouheyre";59965
"Labruguière";7676
"Lacapelle-Viescamp";9
"Lacelle";1212
"Lachaud Curmilhac";1262
"Lacourtensourt";30941
"Lafarge";5445
"Lagny - Thorigny";3463548
"Laguépie";4525
"Laifour";13866
"Laigné - Saint-Gervais";48472
"Laigneville";161190
"Laillé";17845
"Laissac";2033
"Laissey";14953
"Lalande Église";1
"Lalbenque - Fontanes";7843
"Lalinde";22222
"Lamagistère";23252
"Lamanon";67343
"Lamarche";529
"Lamballe";438157
"Lamonzie-Saint-Martin";646
"Lamothe-Landerron";2823
"Lamothe-Montravel";5069
"Lamotte-Beuvron";187343
"Lamure-sur-Azergues";22671
"Lancerf";132
"Lancey";140042
"Landébia";3324
"Landévant";42059
"Landas";57430
"Landaul - Mendon";18404
"Landerneau";582999
"Landivisiau";125124
"Landrecies";18717
"Landry";36430
"Laneuveville-devant-Nancy";8653
"Langeac";26061
"Langeais";206677
"Langogne";29753
"Langon";678387
"Langres";83512
"Lannemezan";89853
"Lannion";191609
"Lantenay";14142
"Laon";750666
"Lapeyrouse";3707
"Laqueuille";3140
"Laragne";61788
"Larche";109
"Lardenne";17167
"Lardy";437516
"Laroche - Migennes";354855
"Laroque";771
"Laroquebrou";3814
"Lathus";610
"Latour-de-Carol - Enveitg";49033
"Lauterbourg";24898
"Laval";1292056
"Laval-de-Cère";532
"Lavaufranche";391
"Lavaur";149353
"Lavaveix-les-Mines";198
"Laveline-devant-Bruyères";14006
"Lavilledieu";10241
"Lavilletertre";4216
"Lavoûte-sur-Loire";6330
"Le Blanc-Mesnil";2911656
"Le Bosquet";35524
"Le Bourget";10054865
"Le Bourget Tram Train";2273400
"Le Bousquet-d'Orb";664
"Le Bras de Fer";2781348
"Le Breuil-sur-Couze";23242
"Le Bruel";448
"Le Buet";1414
"Le Bugue";13121
"Le Buisson";47677
"Le Burg";465
"Le Cailar";467
"Le Cateau";23264
"Le Cellier";41607
"Le Cendre - Orcet";140505
"Le Chénay Gagny";3013226
"Le Chambon-Feugerolles";32783
"Le Coteau";93510
"Le Coudray-Montceaux";86411
"Le Creusot";122007
"Le Creusot - Montceau-les-Mines - Montchanin TGV";729324
"Le Croisic";113808
"Le Dorat";21444
"Le Dramont";5085
"Le Fauga";62200
"Le Genest";48535
"Le Grand Jardin";30544
"Le Grand-Lemps";87470
"Le Grau-du-Roi";57013
"Le Haut Banc";6494
"Le Havre";1739743
"Le Havre Graville";1160
"Le Lioran";23082
"Le Luc - Le Cannet";103598
"Le Mée";2036995
"Le Méridien La Ferrière";150003
"Le Mans";4817035
"Le Merlerault";481
"Le Meux - Lacroix-Saint-Ouen";34690
"Le Molay-Littry";21610
"Le Monastier";301
"Le Péage-de-Roussillon";832075
"Le Pénity";3028
"Le Pallet";184433
"Le Perray";754009
"Le Plessis Chenet";43200
"Le Plessis-Belleville";256705
"Le Poirier Université";155317
"Le Pouliguen";73347
"Le Puy-en-Velay";205417
"Le Quesnoy";396403
"Le Raincy - Villemomble - Montfermeil";8380955
"Le Rouget";11041
"Le Soler";2317
"Le Stade";2193282
"Le Teich";207035
"Le Teil";1958
"Le Theil - La Rouge";18674
"Le Theil-de-Bretagne";16853
"Le Thor";125055
"Le Toec";3025
"Le Tréport - Mers-les-Bains";49023
"Le Trayas";6998
"Le Val d'Or";1532242
"Le Valdahon";172935
"Le Valdahon Camp Militaire";4328
"Le Vauriat";770
"Le Verdon";7199
"Le Vernet d'Ariège";12628
"Le Vert de Maisons";3013931
"Le Vieux Briollay";21836
"Leforest";248142
"Lemberg";5206
"Lens";1636685
"Lentilly";316728
"Lentilly Charpenay";222334
"Les Abrets - Fitilieu";4302
"Les Échets";162973
"Les Églisottes";15363
"Les Arcs - Draguignan";1351035
"Les Ardoines";2340901
"Les Aubrais";1650784
"Les Bardys";5833
"Les Bons Pères";1068
"Les Bossons";5833
"Les Boullereaux Champigny";2435403
"Les Cabannes";7082
"Les Cabrils";106
"Les Cauquillous";14838
"Les Clairières de Verneuil";389028
"Les Coquetiers";896401
"Les Deux Jumeaux";24596
"Les Essarts-le-Roi";916263
"Les Eyzies";21484
"Les Flachères";2175
"Les Fontinettes";24588
"Les Grésillons";2624566
"Les Houches";22576
"Les Islettes";26
"Les Lacs";14077
"Les Laumes Alésia";171899
"Les Longevilles-Rochejean";844
"Les Mais";597
"Les Martres-de-Veyre";164239
"Les Moussoux";2507
"Les Moutiers-en-Retz";13332
"Les Mureaux";3772784
"Les Noues";1557785
"Les Ormes";2824
"Les Pélerins";7626
"Les Pavillons-sous-Bois";1474343
"Les Perrières";579
"Les Praz de Chamonix";6356
"Les Quatre Roues";75
"Les Quatre-Routes";1477
"Les Ramassiers";6004
"Les Rosiers-sur-Loire";51408
"Les Sables Blancs";172
"Les Sables-d'Olonne";413567
"Les Salelles";1
"Les Saules";1171802
"Les Tines";2270
"Les Trillers";797
"Les Vallées";3597982
"Les Versannes";2885
"Les Yvris Noisy-le-Grand";923458
"Lesparre";81713
"Lesquin";187261
"Lesseux - Frapelle";36
"Lestelle";867
"Leucate la Franqui";65505
"Leval";2184
"Lexos";7007
"Lezennes";1442
"Lezoux";80947
"Liévin";46374
"Liancourt - Rantigny";295169
"Liancourt-Saint-Pierre";13546
"Liart";10
"Libercourt";784149
"Libourne";1278683
"Liesle";5420
"Lieusaint - Moissy";5423503
"Ligugé";5550
"Lille CHR";239571
"Lille Europe";7195331
"Lille Flandres";19504803
"Lille Porte de Douai";23500
"Lillers";252485
"Limay";497217
"Limeray";7245
"Limersheim";88136
"Limeyrat";283
"Limoges Bénédictins";1565325
"Limoges Montjovis";19161
"Limoux";5954
"Limoux Flassian";2018
"Lingolsheim";63734
"Lisieux";951064
"Lisle-sur-Tarn";83075
"Lison";149933
"Liverdun";24543
"Livron";54458
"Livry-sur-Seine";92292
"Lizy-sur-Ourcq";303978
"Loches";214370
"Logelbach";31768
"Loison-sous-Lens";15199
"Loivre";32324
"Longages - Noé";105786
"Longecourt";7745
"Longjumeau";524223
"Longpont";149
"Longpré-les-Corps-Saints";155186
"Longroy - Gamaches";2091
"Longueau";458437
"Longueil-Annel";23439
"Longueil-Sainte-Marie";45291
"Longuerue - Vieux-Manoir";9873
"Longueville";897085
"Longueville-sur-Scie";25153
"Longuyon";50488
"Longwy";564384
"Lons-le-Saunier";368462
"Loos lez Lille";29726
"Loos-en-Gohelle";13297
"Loreux";4640
"Lorient Bretagne Sud";1225652
"Loriol";51447
"Lorraine TGV";643375
"Lothiers";979
"Louhans";28884
"Louhossoa";498
"Loulay";613
"Lourches";13817
"Lourdes";418037
"Loures - Barbazan";1232
"Louroux-de-Bouble";1693
"Louveciennes";929095
"Louverné";1006
"Louvres";2059077
"Louvroil";3809
"Lozanne";322262
"Luçay-le-Mâle";14251
"Luçon";60320
"Luant";268
"Lubersac";1948
"Luc";391
"Luc-en-Diois";7452
"Luc-Primaube";5013
"Lucé";25277
"Luchon";31895
"Lucy-sur-Cure - Bessy";42
"Ludon";31621
"Ludres";16244
"Lumes";21534
"Lunéville";915327
"Lunas";157
"Lunel";794007
"Lunel-Viel";6012
"Lunery";304
"Lurbe-Saint-Christau";1854
"Lure";187303
"Lus-la-Croix-Haute";5879
"Lusignan";45136
"Lussac-les-Châteaux";26204
"Luttenbach-près-Munster";9463
"Lutterbach";0
"Lutterbach";47464
"Lutzelbourg";62677
"Lutzelhouse";152469
"Luxé";27464
"Luxeuil-les-Bains";25506
"Luzarches";453728
"Luzenac - Garanou";10883
"Luzy";29416
"Lycée Henri Sellier";1252800
"Lyon Gorge de Loup";669463
"Lyon Jean Macé";774246
"Lyon Part Dieu";31884905
"Lyon Perrache";5749235
"Lyon Saint-Exupéry TGV";1487273
"Lyon Saint-Paul";1460762
"Lyon Vaise";628074
"Ménil Flin";2643
"Mérens-les-Vals";2514
"Mérenvielle";73088
"Méricourt - Ribemont";32161
"Mériel";345997
"Mérignac Arlac";89712
"Méru";896279
"Méry-sur-Oise";605268
"Mézériat";42702
"Mézidon - Canon";298551
"Mâcon";1210842
"Mâcon Loché TGV";450911
"Mâlain";34726
"Macau";36093
"Machecoul";68532
"Machilly";22103
"Magalas";3561
"Magenta";41256000
"Magland";21823
"Magnac - Vicq";12782
"Magnette";4979
"Magneux - Courlandon";24648
"Magny - Blandainville";2665
"Maillé";20860
"Mailly-la-Ville";2971
"Maintenon";1208981
"Maisons-Alfort - Alfortville";12768152
"Maisons-Laffitte";6690943
"Maisse";210830
"Maizières-lès-Metz";243016
"Malansac";28903
"Malaunay - Le Houlme";88081
"Malause";431
"Malesherbes";7754
"Malling";8
"Mamirolle";19376
"Mandelieu-la-Napoule";309160
"Manduel - Redessan";6815
"Manosque - Gréoux-les-Bains";312379
"Mantes Station";860158
"Mantes-la-Jolie";9799922
"Marans";1412
"Marbache";15929
"Marcelcave";41978
"Marcheprime";351438
"Marchezais - Broué";98453
"Mareil-Marly";64801
"Mareil-sur-Mauldre";59938
"Maresquel";165
"Mareuil-sur-Ourcq";28458
"Margaux";23832
"Margival";1
"Marienthal";63043
"Marignac - Saint-Béat";2724
"Marignier";133074
"Marigny";7726
"Marle sur Serre";53601
"Marles-en-Brie";372786
"Marlieux - Châtillon";106370
"Marly-le-Roi";2317014
"Marmagne";6941
"Marmagne sous Creusot";65
"Marmande";442012
"Marne-la-Vallée Chessy";5557520
"Maroeuil";20374
"Marolles-en-Hurepoix";1452643
"Maromme";95950
"Marquette";12
"Marquillies";17313
"Marquise - Rinxent";160421
"Marquixanes";578
"Marsac";5327
"Marsac";0
"Marseillan Plage";8282
"Marseille Blancarde";518149
"Marseille Saint-Charles";16546458
"Marseille-en-Beauvaisis";34135
"Marssac-sur-tarn";9706
"Martigné-Ferchaud";6338
"Martigny-les-Bains";11297
"Martigues";90755
"Martres-Tolosane";22679
"Marvejols";24751
"Massérac";8028
"Masseret";5467
"Massiac - Blesle";29136
"Massy - Palaiseau";4567056
"Massy - Verrières";307888
"Massy TGV";2954714
"Matzenheim";33544
"Maubeuge";480769
"Maule";264978
"Maurecourt";551144
"Maurois";112
"Maurs";12470
"Mauves-sur-Loire";18573
"Mauzé";58613
"Mauzac";946
"Mauzens-et-Miremont";334
"Mayet";33544
"Mazamet";61881
"Mazingarbe";1009
"Meaux";7851972
"Mehun-sur-Yèvre";51121
"Melun";14348114
"Menars";119
"Mende";26690
"Mennecy";1134344
"Mennessis";8354
"Mennetou-sur-Cher";2170
"Menton";2327666
"Menton Garavan";343115
"Mer";218619
"Meroux";0
"Merrey";75
"Mertzwiller";83684
"Mervans";7111
"Merxheim";51771
"Messac - Guipry";245457
"Messein";13950
"Mesves - Bulcy";3581
"Mesvres";2694
"Metz Nord";30206
"Metz Ville";7096851
"Metzeral";65989
"Metzervisse";5608
"Meudon";1196234
"Meudon Val Fleury";2847121
"Meulan - Hardricourt";406874
"Meung-sur-Loire";290472
"Meurchin";66421
"Meursault";18016
"Meuse TGV";210113
"Meximieux - Pérouges";713757
"Meymac";17945
"Meyrargues";102392
"Mignaloux - Nouaillé";2268
"Milhac-d'Auberoche";1010
"Milhaud";3753
"Millas";508
"Millau";66408
"Milly-sur-Thérain";7719
"Miniac";163
"Mionnay";96332
"Miramas";895890
"Miraumont";19506
"Mirecourt";136799
"Miribel";284840
"Mitry - Claye";3115659
"Moûtiers - Salins - Brides-les-Bains";360885
"Modane";213894
"Mohon";17460
"Moirans";743270
"Moirans la Galifette";143681
"Moissac";83893
"Molinges";1968
"Molsheim";1604913
"Mommenheim";217583
"Monéteau - Gurgy";21126
"Monaco-Monte-Carlo";7128125
"Monestier-de-Clermont";31703
"Monistrol-d'Allier";1952
"Monnaie";31158
"Monnerville";27305
"Monsempron-Libos";38416
"Mont de Terre";3399
"Mont-Dauphin - Guillestre";180564
"Mont-de-Marsan";315450
"Mont-Dore";6797
"Mont-Louis - La Cabanasse";86731
"Mont-Notre-Dame";3223
"Mont-sur-Meurthe";9926
"Montélimar";896788
"Montérolier - Buchy";32286
"Montaignac-Saint-Hippolyte";991
"Montaigu";327732
"Montaigut";1462
"Montargis";680711
"Montastruc-la-Conseillère";131496
"Montataire";33672
"Montauban Ville Bourbon";1103290
"Montauban-de-Bretagne";169798
"Montaudran";26319
"Montaut Bétharram";361
"Montbéliard";538402
"Montbard";408143
"Montbarrey";324
"Montbartier";55637
"Montbazon";9619
"Montbizot";35710
"Montbré";3307
"Montbrison";156863
"Montceau-les-Mines";54707
"Montchanin";68812
"Montdidier";163764
"Monte-Carlo Country Club";13293
"Montendre";38493
"Montereau";2997727
"Montescourt";17121
"Monteux";333994
"Montfavet";55601
"Montferrand - Thoraise";2582
"Montfort-l'Amaury - Méré";614954
"Montfort-le-Gesnois";45529
"Montfort-sur-Meu";344434
"Montgeron - Crosne";4034407
"Montgeroult - Courcelles";32453
"Monthermé";119705
"Montigny - Beauchamp";4747238
"Montigny-en-Ostrevent";177842
"Montigny-sur-Loing";194854
"Montivilliers";30873
"Montlaur";3700
"Montlouis";20665
"Montluçon";337650
"Montluçon Rimard";13749
"Montluel";490797
"Montmédy";7053
"Montmélian";469479
"Montmoreau";9863
"Montmorillon";46144
"Montoir-de-Bretagne";13948
"Montpaon";253
"Montpellier Saint-Roch";8125316
"Montpellier Sud de France";0
"Montpon-Ménestérol";139396
"Montréjeau - Gourdan-Polignan";148664
"Montrabé";47957
"Montreuil";2036466
"Montreuil sur Mer";29329
"Montreuil-Bellay";5441
"Montreuil-sur-Ille";249071
"Montreuil-sur-Thérain";5019
"Montreux-Vieux";80587
"Montrichard";84046
"Montroc le Planet";3323
"Montrond-les-Bains";105197
"Montry - Condé";59400
"Monts";126196
"Montsûrs";45267
"Montsoult - Maffliers";1610235
"Montville";140088
"Moosch";38415
"Morannes";49924
"Morbier";3588
"Morcenx";149047
"Moret - Veneux-les-Sablons";1483968
"Moreuil";137369
"Morez";27012
"Morgny";26118
"Morhange";94872
"Morières-lès-Avignon";76215
"Morlaix";546415
"Mormant";415990
"Morre";10453
"Mortcerf";108017
"Morteau";149369
"Morvillars";0
"Mothern";3462
"Motteville";83729
"Mouans-Sartoux";173788
"Mouchard";113934
"Moulin Galant";799308
"Moulins sur Allier";725544
"Moulis - Listrac";17867
"Moult - Argences";54214
"Mourmelon-le-Petit";79356
"Mouroux";124231
"Moustéru";552
"Mouy - Bury";166457
"Moyeuvre-Grande";27840
"Muhlbach-sur-Munster";30407
"Muizon";77331
"Mulhouse";4967456
"Mulhouse Dornach";174303
"Mulhouse Musées";0
"Mullerhof";7020
"Munchhausen";2877
"Mundolsheim";68210
"Munster";276505
"Munster Badischhof";8514
"Murat";18838
"Muret";817118
"Musée d'Orsay";4773600
"Mussidan";166716
"Mutzig";258725
"Négrondes";1896
"Nérondes";17891
"Nézel - Aulnay";70709
"Nîmes";3862495
"Naintré les Barres";25710
"Najac";8607
"Namps - Quevauvillers";794
"Nançois - Tronville";892
"Nancy";7605051
"Nangis";956382
"Nanterre Université";5559829
"Nantes";11068226
"Nanteuil - Saâcy";855930
"Nanteuil-le-Haudouin";182147
"Nantiat";18903
"Narbonne";1275313
"Naucelle";15433
"Neau";5047
"Nemours - Saint-Pierre";1458324
"Nerpuy";3317
"Nesle";65999
"Neufchâteau";87038
"Neufchâtel-Hardelot";11945
"Neuillé-Pont-Pierre";14988
"Neuilly Porte Maillot";5308200
"Neuilly-lès-Dijon";29491
"Neuilly-Saint-Front";2191
"Neussargues";13788
"Neuves-Maisons";17213
"Neuvic";34785
"Neuville";8107
"Neuville Université";2451737
"Neuvy-Pailloux";6577
"Nevers";795355
"Nevers le Banlay";52362
"Nexon";48305
"Nice";11514754
"Nice Pont Michel";60334
"Nice Riquier";2981420
"Nice Saint-Augustin";2218994
"Niederbronn-les-Bains";128359
"Nieppe";87411
"Nieul";2687
"Niolon";35335
"Niort";1148675
"Nissan";0
"Niversac";7510
"Noeux";99245
"Nogent - Le Perreux";4476704
"Nogent-l'Artaud - Charly";111119
"Nogent-le-Rotrou";431597
"Nogent-sur-Seine";185518
"Nogent-sur-Vernisson";45661
"Nointel - Mours";405584
"Noirétable";4414
"Noisy-le-Roi";226807
"Noisy-le-Sec";14990821
"Noizay";2147
"Nomain";5097
"Nomain Ouvignies";1
"Nonancourt";10907
"Nonant-le-Pin";0
"Nort-sur-Erdre";335376
"Nortkerque";2398
"Notre-Dame de Briançon";5136
"Notre-Dame-d'Oé";4050
"Nouan-le-Fuzelier";40673
"Nouvion-sur-Meuse";55056
"Nouzonville";30330
"Novéant-sur-Moselle";118598
"Novillars";6305
"Noyal - Acigné";144856
"Noyelles-sur-Mer";73017
"Noyen";77124
"Noyon";594408
"Nozières - Brignon";10497
"Nuits sous Ravières";30267
"Nuits-Saint-Georges";242182
"Nurieux";21190
"Nyer";176
"Obermodern";196449
"Obernai";663768
"Objat";6851
"Oderen";26651
"Oermingen";34755
"Ogeu-les-Bains";8225
"Oissel";364082
"Olette - Canaveilles les Bains";1176
"Ollioules - Sanary-sur-Mer";478816
"Olonne-sur-Mer";6512
"Oloron-Sainte-Marie";93179
"Ondres";8701
"Onville";7914
"Onzain - Chaumont-sur-Loire";230550
"Orange";784214
"Orangis Bois de l'Épine";2284300
"Orchamps";54095
"Orchies";956365
"Orgerus - Béhoust";206556
"Orgon";28600
"Origny-en-Thiérache";11276
"Orléans";3368559
"Orly Ville";1674694
"Ormoy-Villers";8089
"Orry-la-Ville - Coye";1246718
"Ors";141
"Orthez";168761
"Osny";559091
"Osséja";262
"Ossès - Saint-Martin-d'Arrossa";2775
"Ossun";607
"Ostricourt";165434
"Oudon";117188
"Ouges";13018
"Oulchy - Breny";1052
"Oullins";165777
"Ourscamps";3492
"Oyonnax";93173
"Ozoir-la-Ferrière";2338244
"Péreire Levallois";4838402
"Pérenchies";94333
"Périgueux";858061
"Périgueux Saint-Georges";1686
"Pérols-sur-Vézère";169
"Pagny";11079
"Pagny-sur-Meuse";2801
"Pagny-sur-Moselle";308214
"Paimpol";52863
"Pamiers";344176
"Pamproux";5132
"Pantin";7822875
"Paray-le-Monial";121030
"Parc des Expositions";2367784
"Parempuyre";23951
"Parent - Coudes - Champeix";61342
"Paris Austerlitz";16119782
"Paris Austerlitz";6989641
"Paris Bercy Bourgogne - Pays d'Auvergne";3543416
"Paris Est";35411032
"Paris Gare de Lyon";43923693
"Paris Gare de Lyon";56636819
"Paris Gare du Nord";24693610
"Paris Gare du Nord";10343978
